oracion;tipo
Ana pinta flores y después las borda en tela.;coordinada
No sabemos si viajar a España o quedarnos en casa.;coordinada
O me prestas tus zapatos, o te los quito a la fuerza.;coordinada
¿Estudias o trabajas?;coordinada
Fuimos a la escuela, pero suspendieron las clases.;coordinada
Nos pidieron tomates, sin embargo trajimos cebollas.;coordinada
La policía se está llevando a unos y a otros.;coordinada
No protestaron los ricos, sino que lo hicieron los pobres.;coordinada
Llegamos tarde, así que los profesores se enojaron bastante.;coordinada
"Aprobé todos los exámenes; sin embargo, no me permitieron ingresar al curso.";coordinada
En esta zona no llueve en todo el invierno, de modo que la fauna es muy escasa.;coordinada
El espectáculo ya empezó y el actor principal aún no ha llegado.;coordinada
El sistema nervioso central comanda las funciones vitales neurovegetativas, es decir que todas las decisiones que tomamos dependen de este sistema.;coordinada
Los resultados son favorables, así que le daremos el alta pronto.;coordinada
Las aves y los reptiles son ovíparos, esto es, sus crías se forman en el interior de huevos, que eclosionan a la madurez.;coordinada
Tendremos que apurarnos o el autobús se irá sin nosotros.;coordinada
Todos recibirán sus premios, salvo que los jurados se retracten.;coordinada
Los pulmones toman aire enriquecido en oxígeno y el corazón utiliza ese oxígeno para bombear.;coordinada
Mis padres veranearon en la playa, pero nosotros decidimos quedarnos.;coordinada
Sé bailar muy bien, mas nadie me enseñó a cantar.;coordinada
"Como abogado, se ha especializado en derecho comercial; no obstante, el derecho internacional es lo que más le interesa.";coordinada
No es la primera vez que se queja de su magro sueldo e intuyo que en poco tiempo presentará la renuncia.;coordinada
"El día estaba muy nublado; igual lo pasamos muy bien.";coordinada
La profesora no vino, así que nos retiramos una hora antes.;coordinada
Tu trabajo es muy bueno, aunque te aconsejo que lo revise un superior antes de entregarlo.;coordinada
Me gustan todas las comidas, pero los ravioles de mi abuela son mis preferidos.;coordinada
No quiero quedarme sin trabajo, pero mi jefe está colmando mi paciencia.;coordinada
Las computadoras evolucionaron en los últimos tiempos y el empleo en la industria tecnológica aumentó notablemente.;coordinada
Compramos un juego de living, aún no lo trajeron.;coordinada
Mi madre se ocupó de todo, es decir que no hizo falta contratar a un decorador.;coordinada
"Mi hijo mayor estudia Derecho; el menor es deportista profesional.";coordinada
Hablemos en voz baja porque mi hijo está durmiendo.;coordinada
Mis amigos fueron al cine, pero la película no les gustó.;coordinada
Vino la profesora titular y aprendimos mucho sobre la Guerra Fría.;coordinada
Me escondí detrás de la puerta: era una conversación que me interesaba escuchar.;coordinada
Ciertos insectos sufren metamorfosis, es decir que sus cuerpos cambian profundamente a lo largo de su ciclo de vida.;coordinada
Me avisó que se iba de la oficina temprano, pero al final nos quedamos hasta tarde.;coordinada
Me compré varios libros, aunque ninguno es muy bueno.;coordinada
"Su actuación de anoche fue excelente; sin embargo, a los periodistas no les gustó.";coordinada
Es probable que ese candidato gane, aunque las encuestas marquen lo contrario.;coordinada
El administrador prometió arreglar la casa, pero aún no contrataron a los obreros.;coordinada
No venderá su auto, lo usaremos nosotros durante un tiempo.;coordinada
Puedes quedarte a cenar o podemos ir al restaurante de la esquina.;coordinada
Avisó que llegará más tarde, de manera que podemos comenzar con la reunión.;coordinada
No suele asistir a las fiestas porque sus amigos nunca lo invitan.;coordinada
Acepta ese presupuesto o llamaremos a otro profesional.;coordinada
La tarde se extingue, el sol se va poniendo rojizo.;coordinada
Me volvieron a explicar el tema y pude entenderlo mejor.;coordinada
"El dólar subió; por lo tanto, no es un buen momento para vender la casa.";coordinada
No cambiará su punto de vista, ni lograremos que entre en razón.;coordinada
¿Vas a ponerte ese vestido o te presto uno mío?;coordinada
Ayer fumigaron en mi casa, así que estoy durmiendo en lo de mi padre.;coordinada
Nos pueden venir a buscar o podemos ir caminando.;coordinada
No voy a explicártelo de nuevo, así que no vas a entenderlo.;coordinada
Estábamos esperando que empiece la obra y se escuchó un estruendo.;coordinada
Tenemos dinero suficiente: el evento se hará tal como lo planeamos.;coordinada
"Las acciones subieron; sin embargo, nuestros clientes perdieron la confianza en la empresa.";coordinada
No tengo tiempo para esta discusión, pregúntale a tu padre.;coordinada
La película que me recomendaste es muy linda.;subordinadas
La vecina, a quien conocimos ayer, es antipática.;subordinadas
Tiraron a la basura las sillas que estaban rotas.;subordinadas
Los actores, que habían ensayado todo el día, salieron a saludar.;subordinadas
Juan, que es mi carpintero, construyó ese mueble.;subordinadas
No comiences a cocinar si no tienes todos los ingredientes.;subordinadas
Voy porque me parece lo correcto.;subordinadas
Tengo la duda de que haya entendido.;subordinadas
La regadera que me prestaste está rota.;subordinadas
Puse la mesa como me dijiste.;subordinadas
Debes ir aunque tengas sueño.;subordinadas
Las ventanas que daban al frente ya fueron reparadas.;subordinadas
Me encanta que te hayas decidido.;subordinadas
Los platos son servidos por los propios cocineros.;subordinadas
Aclaró que era preferible no confirmar nada.;subordinadas
En una calle del sur cuyo nombre no recuerdo hay un café hermoso.;subordinadas
Los chicos que habían desaprobado rindieron nuevamente hoy.;subordinadas
Aquella mañana que me quedé estudiando fue muy productiva.;subordinadas
Ramón, que es mi amigo, regará las plantas mientras esté en Europa.;subordinadas
Mi profesora sabe que no estudiamos lo suficiente para este examen.;subordinadas
Las sombrillas que estaban abiertas se volaron con el viento.;subordinadas
El pueblo donde nací creció mucho en los últimos años.;subordinadas
La cartera está donde te dije que la había dejado.;subordinadas
Mi auto, que es muy viejo, está roto.;subordinadas
Las novelas que me recomendaron en clase no me atraen.;subordinadas
La casa que voy a comprar es hermosa.;subordinadas
Mi hermano, que vive en Estados Unidos, viene de visita la semana entrante.;subordinadas
Gracias a ella nos enteramos de que iban a ser padres.;subordinadas
Nadie sabe a qué se dedica ese señor.;subordinadas
El libro que escribió antes de morir es el que más éxito tuvo.;subordinadas
Me gusta la idea de que vayamos juntos a la playa.;subordinadas
Quiero que vengas conmigo a todas partes.;subordinadas
No sé cuándo terminará este calvario.;subordinadas
Haré las tareas de la casa si no tengo otra alternativa.;subordinadas
El niño se comporta como le da la gana.;subordinadas
Está harto de que todo sea tan complicado.;subordinadas
El hombre está seguro de que vio a su esposa en ese lugar.;subordinadas
Es una lástima que las cosas no hayan salido como esperaban.;subordinadas
El operativo que montó la policía fue todo un éxito.;subordinadas
Los jugadores cuyos pases no estén resueltos no podrán integrarse en el equipo.;subordinadas
Quien mucho abarca poco aprieta.;subordinadas
La ciudad donde nací es muy hermosa.;subordinadas
Este es el muchacho del que tanto te hablé.;subordinadas
El hombre dijo que volvería pronto.;subordinadas
A veces hablo sin pensar en lo que digo.;subordinadas
La niña preguntó si faltaba mucho para llegar a destino.;subordinadas
Me acostumbré a que me sirvan el desayuno todas las mañanas.;subordinadas
Este hombre, que es muy inteligente, nos sacará del apuro.;subordinadas
La fiesta comenzó después de que llegaron todos los invitados.;subordinadas
Volveremos por donde vinimos.;subordinadas
